stage,epoch,learning_rate,train_count,train_mae_samples,train_rmse_samples,train_p95_samples,train_mae_us,train_p95_us,train_within_1_samples,train_within_2_samples,train_within_4_samples,train_within_8_samples,train_within_16_samples,train_loss,val_count,val_mae_samples,val_rmse_samples,val_p95_samples,val_mae_us,val_p95_us,val_within_1_samples,val_within_2_samples,val_within_4_samples,val_within_8_samples,val_within_16_samples,val_loss
pretrain,1,0.002,4716,1828.2186279296875,2741.495361328125,5356.52587890625,1462.57490234375,4285.220703125,0.02120441012084484,0.05067854002118111,0.09817641973495483,0.1759966015815735,0.2716284990310669,5.180272406822926,510,2866.4111328125,3211.0615234375,4446.45068359375,2293.12890625,3557.160546875,0.007843137718737125,0.021568628028035164,0.04117647185921669,0.054901961237192154,0.062745101749897,6.534347474575043
pretrain,2,0.002,4716,1137.7816162109375,2019.2279052734375,4520.740234375,910.22529296875,3616.5921875,0.051738761365413666,0.10305343568325043,0.18977947533130646,0.31679388880729675,0.4200593829154968,3.8902000285483695,510,1835.483642578125,2520.5009765625,4389.234375,1468.3869140625,3511.3875,0.05882352963089943,0.09803921729326248,0.1509803980588913,0.2294117659330368,0.2980392277240753,4.99459807574749
pretrain,3,0.002,4716,1051.760986328125,1937.5284423828125,4386.84423828125,841.4087890625,3509.475390625,0.06933842599391937,0.13040712475776672,0.2332485169172287,0.35156911611557007,0.4480491876602173,3.5607598005114376,510,1652.7049560546875,2535.94873046875,5149.87744140625,1322.16396484375,4119.901953125,0.06078431382775307,0.10588235408067703,0.2235294133424759,0.3078431487083435,0.37254902720451355,4.1194296553730965
pretrain,4,0.002,4716,1060.9056396484375,1946.9305419921875,4460.30517578125,848.72451171875,3568.244140625,0.07251908630132675,0.14312976598739624,0.2553010880947113,0.37319761514663696,0.45759117603302,3.480319404924238,510,1810.1475830078125,2496.6552734375,4391.55078125,1448.11806640625,3513.240625,0.04901960864663124,0.10784313827753067,0.18039216101169586,0.24705882370471954,0.29411765933036804,4.762301728129387
pretrain,5,0.002,4716,982.1571044921875,1862.339111328125,4294.18115234375,785.72568359375,3435.344921875,0.07782018929719925,0.14821882545948029,0.2618744671344757,0.3941899836063385,0.48346054553985596,3.2758645479743547,510,1043.2679443359375,1809.245849609375,4022.1484375,834.61435546875,3217.71875,0.05882352963089943,0.15490196645259857,0.2803921699523926,0.3764705955982208,0.4333333373069763,3.639551803469658
pretrain,6,0.002,4716,912.4472045898438,1773.372314453125,4214.044921875,729.957763671875,3371.2359375,0.0890585258603096,0.17408820986747742,0.2945292592048645,0.41772687435150146,0.5014843344688416,3.1596028208732605,510,1421.117431640625,2165.846435546875,4351.46142578125,1136.8939453125,3481.169140625,0.05098039284348488,0.10784313827753067,0.19019608199596405,0.2764706015586853,0.343137264251709,4.506732538342476
pretrain,7,0.002,4716,806.3126831054688,1619.4635009765625,3981.412109375,645.050146484375,3185.1296875,0.08842239528894424,0.1670907586812973,0.29919424653053284,0.43044954538345337,0.5184478163719177,3.0865731923966795,510,1262.441162109375,2047.531005859375,4274.212890625,1009.9529296875,3419.3703125,0.08039215952157974,0.1411764770746231,0.23137255012989044,0.3117647171020508,0.4019607901573181,3.961878314614296
pretrain,8,0.002,4716,805.3030395507812,1611.986083984375,3894.69091796875,644.242431640625,3115.752734375,0.094783715903759,0.1768447905778885,0.3170059323310852,0.4365988075733185,0.5182358026504517,3.057252859747088,510,1149.2947998046875,1912.05517578125,4474.6923828125,919.43583984375,3579.75390625,0.06862745434045792,0.11764705926179886,0.23137255012989044,0.3137255012989044,0.39411765336990356,4.049459636211395
pretrain,9,0.002,4716,770.7410278320312,1565.0616455078125,3771.6455078125,616.592822265625,3017.31640625,0.10178116708993912,0.19423240423202515,0.33100083470344543,0.45568278431892395,0.5345631837844849,2.9467786663287394,510,854.884521484375,1550.1097412109375,3727.759765625,683.9076171875,2982.2078125,0.10588235408067703,0.1882352977991104,0.32156863808631897,0.41960784792900085,0.4901960790157318,3.1579859778285027
pretrain,10,0.002,4716,737.1239624023438,1528.9315185546875,3762.91455078125,589.699169921875,3010.331640625,0.1115351989865303,0.20971162617206573,0.35877862572669983,0.4696776866912842,0.546013593673706,2.8722700822997735,510,966.0509643554688,1766.0677490234375,4369.85205078125,772.840771484375,3495.881640625,0.1196078434586525,0.20196078717708588,0.3333333432674408,0.4274509847164154,0.48235294222831726,3.126634493470192
pretrain,11,0.002,4716,697.3838500976562,1473.4874267578125,3616.241455078125,557.907080078125,2892.9931640625,0.12044104933738708,0.22561493515968323,0.36577609181404114,0.4898218810558319,0.5629770755767822,2.7978913630988145,510,1191.7008056640625,1943.290283203125,4142.19970703125,953.36064453125,3313.759765625,0.09019608050584793,0.1666666716337204,0.3019607961177826,0.36274510622024536,0.42352941632270813,3.9744575917720795
pretrain,12,0.002,4716,687.1234130859375,1456.700927734375,3549.0703125,549.69873046875,2839.25625,0.12044104933738708,0.22497878968715668,0.35962679982185364,0.4864291846752167,0.5606446266174316,2.7724332310057975,510,896.9408569335938,1610.2744140625,3613.274169921875,717.552685546875,2890.6193359375,0.14705882966518402,0.23137255012989044,0.3294117748737335,0.43529412150382996,0.501960813999176,2.9846044182777405
pretrain,13,0.001,4716,682.9497680664062,1456.45654296875,3638.7939453125,546.359814453125,2911.03515625,0.11344359815120697,0.22243426740169525,0.36916878819465637,0.49194231629371643,0.5667939186096191,2.747077861347714,510,2411.031982421875,2943.562255859375,4462.40869140625,1928.8255859375,3569.926953125,0.009803921915590763,0.029411764815449715,0.06078431382775307,0.13725490868091583,0.1764705926179886,5.936389580368996
pretrain,14,0.001,4716,645.129150390625,1411.881103515625,3475.28369140625,516.1033203125,2780.226953125,0.13952502608299255,0.25063613057136536,0.39737066626548767,0.5050890445709229,0.5769720077514648,2.649273353653985,510,948.1533203125,1714.6527099609375,3867.54296875,758.52265625,3094.034375,0.09607843309640884,0.21176470816135406,0.33529412746429443,0.4333333373069763,0.5058823823928833,3.1274969652295113
pretrain,15,0.001,4716,604.2593383789062,1360.691650390625,3454.09521484375,483.407470703125,2763.276171875,0.14206954836845398,0.2618744671344757,0.4092451333999634,0.516963541507721,0.5888465046882629,2.6067081858982912,510,1162.072265625,1958.0205078125,4329.671875,929.6578125,3463.7375,0.1039215698838234,0.18039216101169586,0.2823529541492462,0.36666667461395264,0.4372549057006836,3.5936368107795715
pretrain,16,0.001,4716,552.247802734375,1266.6640625,3260.6552734375,441.7982421875,2608.52421875,0.14100933074951172,0.26823580265045166,0.41284987330436707,0.5273537039756775,0.5990245938301086,2.5235212896321273,510,1118.489013671875,1881.255126953125,4067.593505859375,894.7912109375,3254.0748046875,0.10980392247438431,0.20588235557079315,0.30000001192092896,0.3764705955982208,0.4372549057006836,3.4546383395791054
pretrain,17,0.0005,4716,569.4385375976562,1307.0936279296875,3318.0537109375,455.550830078125,2654.44296875,0.1433418095111847,0.2659032940864563,0.4136980473995209,0.5279898047447205,0.6009330153465271,2.5283209061300433,510,1089.1807861328125,1849.0030517578125,4063.748046875,871.34462890625,3250.9984375,0.10000000149011612,0.1764705926179886,0.2803921699523926,0.35098040103912354,0.4156862795352936,3.705736942589283
pretrain,18,0.0005,4716,491.785888671875,1180.5357666015625,3100.4931640625,393.4287109375,2480.39453125,0.15818490087985992,0.28816795349121094,0.44147583842277527,0.551314651966095,0.623197615146637,2.4251298541958266,510,1946.72705078125,2597.330322265625,4398.93212890625,1557.381640625,3519.145703125,0.0235294122248888,0.06666667014360428,0.13137255609035492,0.21176470816135406,0.250980406999588,4.870533600449562
pretrain,19,0.0005,4716,487.6099853515625,1191.2244873046875,3099.447021484375,390.08798828125,2479.5576171875,0.15670059621334076,0.28774383664131165,0.44105175137519836,0.5587362051010132,0.6234096884727478,2.3782657908426748,510,1702.8343505859375,2407.296142578125,4407.75634765625,1362.26748046875,3526.205078125,0.054901961237192154,0.10588235408067703,0.19607843458652496,0.24901960790157318,0.30000001192092896,4.50115804374218
finetune,1,0.0005,3630,547.7462158203125,1225.787109375,3145.39306640625,438.19697265625,2516.314453125,0.1556473821401596,0.2738291919231415,0.4322313964366913,0.5573002696037292,0.6245179176330566,2.40267567990119,419,649.1666259765625,1305.54541015625,3150.917724609375,519.33330078125,2520.7341796875,0.12649165093898773,0.26730310916900635,0.4439140856266022,0.560859203338623,0.6133651733398438,2.752473609788077
finetune,2,0.0005,3630,519.38037109375,1172.1573486328125,3058.157958984375,415.504296875,2446.5263671875,0.1550964117050171,0.28760331869125366,0.43939393758773804,0.5608815550804138,0.6319559216499329,2.3526809916161655,419,610.7739868164062,1253.846923828125,3044.71240234375,488.619189453125,2435.769921875,0.11217183619737625,0.26968973875045776,0.448687344789505,0.5656324625015259,0.6276849508285522,2.699363648891449
finetune,3,0.0005,3630,539.998046875,1214.716796875,3100.396484375,431.9984375,2480.3171875,0.16088154911994934,0.2936639189720154,0.44958677887916565,0.5630853772163391,0.6402204036712646,2.3254873177461457,419,616.34814453125,1289.011962890625,3150.8427734375,493.078515625,2520.67421875,0.16467779874801636,0.2935560941696167,0.4630071520805359,0.5823389291763306,0.6372315287590027,2.6963461467197964
finetune,4,0.0005,3630,510.4057312011719,1169.455322265625,3030.716796875,408.3245849609375,2424.5734375,0.15399448573589325,0.29393938183784485,0.44876033067703247,0.5727272629737854,0.6460055112838745,2.288494057822646,419,537.6949462890625,1139.338623046875,2979.912353515625,430.15595703125,2383.9298828125,0.15751789510250092,0.30071598291397095,0.49164676666259766,0.577565610408783,0.6324582099914551,2.663419864007405
finetune,5,0.0005,3630,490.6339111328125,1145.5421142578125,2947.84228515625,392.50712890625,2358.273828125,0.1694214940071106,0.30358126759529114,0.46942147612571716,0.5851239562034607,0.6490358114242554,2.259610567176551,419,584.490234375,1255.265380859375,3151.265625,467.5921875,2521.0125,0.12887828052043915,0.2792362868785858,0.4677804410457611,0.5727923512458801,0.6252983212471008,2.581003112452371
finetune,6,0.0005,3630,485.2080993652344,1144.0770263671875,3005.0478515625,388.1664794921875,2404.03828125,0.15757575631141663,0.28980717062950134,0.4586776793003082,0.5848484635353088,0.6537190079689026,2.286245904470745,419,963.2996215820312,1674.498291015625,3743.870849609375,770.639697265625,2995.0966796875,0.16706444323062897,0.25059667229652405,0.39140811562538147,0.4630071520805359,0.4964200556278229,3.368855740342821
finetune,7,0.0005,3630,456.0481872558594,1108.3797607421875,2964.54296875,364.8385498046875,2371.634375,0.15482093393802643,0.29393938183784485,0.47300276160240173,0.5876033306121826,0.6570248007774353,2.2580787539482117,419,1011.8276977539062,1748.555419921875,3978.0341796875,809.462158203125,3182.42734375,0.14797136187553406,0.23389022052288055,0.3317422568798065,0.4105011820793152,0.45823389291763306,3.7701060942241122
finetune,8,0.00025,3630,423.27020263671875,1061.6346435546875,2862.79541015625,338.616162109375,2290.236328125,0.16694214940071106,0.3168044090270996,0.48512396216392517,0.600275456905365,0.6719008088111877,2.2041130661964417,419,1856.4466552734375,2498.618408203125,4299.44775390625,1485.15732421875,3439.558203125,0.069212406873703,0.12887828052043915,0.18615752458572388,0.24821002781391144,0.28162291646003723,5.175743273326328
finetune,9,0.00025,3630,390.74053955078125,1012.3112182617188,2727.8662109375,312.592431640625,2182.29296875,0.17107437551021576,0.33443525433540344,0.4977961480617523,0.610468327999115,0.6804407835006714,2.150523870660548,419,931.7505493164062,1647.6312255859375,3834.6767578125,745.400439453125,3067.74140625,0.14558473229408264,0.2577565610408783,0.3603818714618683,0.4653937816619873,0.49403342604637146,3.326645646776472
finetune,10,0.00025,3630,363.5249938964844,956.0474243164062,2639.125,290.8199951171875,2111.3,0.1837465614080429,0.33498623967170715,0.5052341818809509,0.6283746361732483,0.6928374767303467,2.1208976820895544,419,724.6384887695312,1433.5238037109375,3450.84716796875,579.710791015625,2760.677734375,0.14797136187553406,0.28400954604148865,0.4295942783355713,0.5369928479194641,0.584725558757782,2.9735163194792613
finetune,11,0.00025,3630,353.8441467285156,959.598876953125,2620.7548828125,283.0753173828125,2096.60390625,0.19724518060684204,0.3490357995033264,0.5123966932296753,0.6239669322967529,0.6953167915344238,2.0916793660113684,419,877.3036499023438,1605.4937744140625,3768.4375,701.842919921875,3014.75,0.1360381841659546,0.24821002781391144,0.38663485646247864,0.4844868779182434,0.5322195887565613,3.2840012226785933
finetune,12,0.000125,3630,351.7049255371094,946.5991821289062,2575.67724609375,281.3639404296875,2060.541796875,0.18264463543891907,0.3366391062736511,0.5132231116294861,0.6297520399093628,0.6936638951301575,2.0763881739817167,419,1272.6412353515625,1997.9503173828125,4191.8515625,1018.11298828125,3353.48125,0.09785202890634537,0.1551312655210495,0.241050124168396,0.32219570875167847,0.379474937915802,4.187671482563019
finetune,13,0.000125,3630,337.0780334472656,935.1867065429688,2523.64990234375,269.6624267578125,2018.919921875,0.1823691427707672,0.34132230281829834,0.5192837715148926,0.6333333253860474,0.7035812735557556,2.0268962602866325,419,850.0033569335938,1543.85302734375,3534.31494140625,680.002685546875,2827.451953125,0.1551312655210495,0.25059667229652405,0.36992838978767395,0.4534606337547302,0.5011933445930481,3.271190822124481
finetune,14,0.000125,3630,333.575927734375,925.0369873046875,2569.228515625,266.8607421875,2055.3828125,0.19449035823345184,0.3531680405139923,0.505509614944458,0.6275482177734375,0.7033057808876038,2.0229206252516363,419,986.6904907226562,1716.9847412109375,3975.27099609375,789.352392578125,3180.216796875,0.12410501390695572,0.2386634796857834,0.33890214562416077,0.44152745604515076,0.47255370020866394,3.307927872453417
